"Source:","C:\Users\denis\Dropbox\Projects\digirig.net\electric\digirig-shack.sch"
"Date:","1/24/2021 10:53:47 AM"
"Tool:","Eeschema (5.1.8)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","62"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C2","10uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C3","27pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C4","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C5","10uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C6","27pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C7","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C8","10uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C9","27pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C10","27pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C11","10uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C12","10uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C13","10uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C14","22uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C15","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C16","100pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C17","100pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C18","10uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C19","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C20","10uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C21","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C22","10uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C23","10uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C24","100pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C25","100pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","D1","SP0503BAHT","Power_Protection:SP0503BAHT","Package_TO_SOT_SMD:SOT-143","http://www.littelfuse.com/~/media/files/littelfuse/technical%20resources/documents/data%20sheets/sp05xxba.pdf"
"","","D2","PWR (RED)","Device:LED","LED_SMD:LED_0402_1005Metric","~"
"","","J1","USB_B_Micro","Connector:USB_B_Micro","footprints:USB_MICRO_A01SB141B1-298","~"
"","","J2","USB_A","Connector:USB_A","Connector_USB:USB_A_Molex_67643_Horizontal"," ~"
"","","J3","PTT/CW","Connector:AudioJack3","footprints:jack_3.5_pj313d-smt","~"
"","","J4","Serial","Connector:AudioJack3","footprints:jack_3.5_pj313d-smt","~"
"","","J5","Audio","Connector:AudioJack3","footprints:jack_3.5_pj313d-smt","~"
"","","L1","2.2mH","Device:L_Core_Ferrite","footprints:CD74R","~"
"","","R1","10K","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~"
"","","R2","1K","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~"
"","","R3","33","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~"
"","","R4","33","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~"
"","","R5","1.5K","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~"
"","","R6","1.5K","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~"
"","","R7","33","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~"
"","","R8","33","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~"
"","","R9","33","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~"
"","","R10","33","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~"
"","","R11","22K","Device:R_US","Resistor_SMD:R_0402_1005Metric","~"
"","","R12","47K","Device:R_US","Resistor_SMD:R_0402_1005Metric","~"
"","","R13","1M","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~"
"","","R14","15K","Device:R_US","Resistor_SMD:R_0402_1005Metric","~"
"","","R15","470","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~"
